album,artist,track
Pocket Love,Coastal,Pocket Love
It's My Time,Atjazz,It's My Time
Ain't That Funkin' Kinda Hard on You? (Remixes),Funkadelic,Ain’t That Funkin’ Kinda Hard on You? - Louie Vega Remix
The Unpredictable Gemini,K-DEF,Gotta Get Away (feat. Damu the Fudgemunk & A.G.)
Social Housing,Marquis Hawkes,Fantasy
Sunny Dayz EP,Newbody,Turn Me On
Favourites: From Samba Esquema Novo 1963 To Africa Brasil 1976,Jorge Ben Jor,Chove Chuva
1992,The Game,92 Bars
Off the Wall,Michael Jackson,She's Out of My Life - Single Version
Dr. Seuss' How The Grinch Stole Christmas!,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
Greatest Hits,2Pac,I Get Around
Picture Me Rollin,MadeinTYO,Picture Me Rollin
Endtroducing,DJ Shadow,What Does Your Soul Look Like - Pt. 4
Bauhaus - 1979-1983 Volume One,Bauhaus,Bela Lugosi's Dead
Tourist [Remastered],St Germain,Sure Thing
"Christmas Classics Featuring Rudolph The Red-Nosed Reindeer, Frosty The Snowman & The Little Drummer Boy",Brenda Lee,Rockin' Around The Christmas Tree
New Breed of Deep House 2012,Washerman,It Ain't Right Baby
Stella By Starlight,Booker Ervin,Mooche Mooche
Star,Funky Green Dogs,Won't Stop Loving You
Amoroso,João Gilberto,'S Wonderful
Classic Hip-Hop,De La Soul,"Me, Myself & I"
"Past, Present And The Futures",The Futures,AIN'T NO TIME FA NOTHING
Emotional EP,Envoy,Emotional
12'' Club Classics - 80s Grooves,Central Line,"Walking Into Sunshine - Original Larry Levan 12"" Mix"
Multi-Love,Unknown Mortal Orchestra,Can't Keep Checking My Phone
The Best Of Stimulated Soul Vol.1,Patrick Podage,Woodnote - Soul Purpose Remix
"House Crime, Vol. 2",Mall Grab,2 B Reel
Drunk,Thundercat,Them Changes
Greatest Hits,The Notorious B.I.G.,One More Chance / Stay with Me - Remix
On My Mind,Royal-T,On My Mind - Version One
Little Black Book,Groove Armada,Luv 91
Loco Por Ti,Lebrón Brothers,Que Pena
Reality Testing,Lone,Jaded
Tales From The Loft EP,Low Steppa,Hangin On - Original Mix
Ride The Lightning (Remastered),Metallica,For Whom The Bell Tolls (Remastered)
Vocals for Everyone EP,FCL,Let's Go
Feel Real,X-COAST,Feel Real - Remix
Boxed Out,Detroit Swindle,64 Ways
Saturday Morning,TRP,Stash
Bespoke,Barney Artist,Space
Jaded,Toyboy & Robin,Jaded
Defected Presents House Masters: Junior Jack,Soho,Good Times
Nostalgic 64,Denzel Curry,Denny Cascade
Shall Not Fade - 3 Years of Service,LK,Dark Days
Dance,3 Winans Brothers,Dance - Louie Vega Dance Ritual Mix
Swim Team Kush,Yung AOL,Mami Vice
Lagos Shake: A Tony Allen Chop Up,Carl Craig,Kilode Remix
Dorado Twenty One,Jhelisa,Friendly Pressure
Doggystyle,Snoop Dogg,Lodi Dodi (feat. Nancy Fletcher)
Fraction of Infinity,Mark Prince,Friendly Fire
The Crusade,Tek.lun,Consequence
Celebrating Curtis Hairston,Curtis Hairston,I Want You All Tonight
Sarah Vaughan With Clifford Brown,Sarah Vaughan,Jim
"Past, Present & Future",The Rah Band,Messages from the Stars
Worldwide Underground,Erykah Badu,Bump It
Spend the Night,Danny J Lewis,Spend the Night - Samson Lewis Extended Remix
Los Conquistadores,Earth Trax,Electricity
Flingway 1,J Tijn,6-3 6-2 6-2
Anomalies,Fransis Derelle,Show Me (feat. Sayso & K-Si Yang)
Watching Movies with the Sound Off (Deluxe Edition),Mac Miller,S.D.S.
Our Vibe EP,Low Steppa,Playing Drunk
Let There Be Dub,Aldubb,Tommy**
"TheSoundYouNeed, Vol. 1",Chrome Sparks,Marijuana
Love Is The Movement,Yarah Bravo,I Found Love
All Eyez On Me,2Pac,All About U
Message In The Music,The O'Jays,Message in Our Music
Amazonic,Nick León,Amazonic
Liquid Swords,GZA,Duel Of The Iron Mic
Don't Wait (Remixes),Mapei,Don't Wait - Giraffage Remix
Move On (Let Go),Octo Octa,Move On (Let Go) - De-stress Mix (Edit)
Small Talk - EP,MNEK,Wrote A Song About You
Javier Solis con Trio,Javier Solís,Solamente una Vez
Point of View,[re:jazz],Inner City Life
Best Of La Bouche feat. Melanie Thornton (feat. Melanie Thornton),La Bouche,Be My Lover
Take Me Away,Adam Beyer,Take Me Away
Get Down Saturday Night & Other Hits,Oliver Cheatham,On Broadway - Funky Groove Version
Goodbye Country (Hello Nightclub),Groove Armada,Superstylin'
Soneando Trombone [Singing Trombone],Jimmy Bosch,La Soledad
Faux Polynesia EP,Kassian,Faux Polynesia - Original Mix
Last Chance to Dance,Ekkah,Last Chance to Dance
Off The Record,Ronny Jordan,Keep Your Head Up
Sizzlin',Fattburger,Bleu Cheese
Do It for You,Miguel Migs,Do It for You - Jay-J's Shifted Up Dub
Happy Music: The Best Of The Blackbyrds,The Blackbyrds,Mysterious Vibes
The Remedy,OthaSoul,Changing Me
Low Steppa Presents Simma Black (Volume Four),Low Steppa,Conservatory Bar - Original Mix
Perfect Angel/Adventures In Paradise,Minnie Riperton,"Baby, This Love I Have"
Selcouth,Coubo,It's Like Love
Network: Volume Four - Garage,Kws,Hold Back The Night (joey Negro K.o.k. Mix)
Ghetto Tekz 101,DJ Pillsbury,Birthday Sex - Juke Remix
Samba Rock Vol.1,Jorge Ben & Toquinho,"Carolina, Carol Bela"
Around The House,Herbert,We Still Have (The Music)
Do Not Pass Me By,Pastor T.L. Barrett,You May Not Need Him
Automated Refrains,Dan Terminus,Margaritifer
Let Yourself Go,95 North,Let Yourself Go - Capitol Mix
The Rocky Story,Robert Tepper,No Easy Way Out
Seu Jorge and Almaz,Seu Jorge,Everybody Loves The Sunshine
Strictly Business (Deluxe Edition),DJ Randall,Hard Noize - Original Mix
Sunkist,Coeo,Be - Original Mix
The Velvet Rope,Janet Jackson,Together Again
Live From San Francisco,Maynard Ferguson,Fireshaker
Troupeau bleu,Cortex,Chanson d'un jour d'hiver
Careo EP,Huxley,Careo
Brazil Bossa Nova Classcis Presents Joyce & Maria Creuza,Joyce,Olhos Feiticeiros
Ibiza House (Spring '18),Recovery Mafia,Make Love - VIP Mix
More Is Than Isn't,RJD2,See You Leave
The Roar Of '74,Buddy Rich,Time Check
The Ultimate Motown Christmas Collection,Marvin Gaye,Christmas In The City
Christmas Time Is Here b/w Christmas Time Is Here (Version Mary),Khruangbin,Christmas Time Is Here
Kind Of Blue (Legacy Edition),Miles Davis,On Green Dolphin Street
Go Slow,All About She,Like That
Wanderlust,Sandboy,Bsb
Michael,Les Sins,Talk About
Silencio= Muerte: Red Hot + Latin Redux,Various Artists,Peligroso Pop
The Best Of Joe Pass- The Pacific Jazz Years,Joe Pass,But Beautiful
Zapp,Zapp,Be Alright
Crescendo,Crackazat,Eye Light - Original Mix
Radio Juke Vol. 2,DJ T-Why,Buddah Lovaz
Sundae Sauuce Presents: Caramel Drizzle,Unda de Sango,Mona Lisa
Beautiful People,Barbara Tucker,Beautiful People - Club Mix
Secret Life Of Machines Remastered & Remixed,Sterac,Astronotes - Original Mix
Late Night Tales: Another Late Night - Zero 7,Sylvia Striplin,You Can't Turn Me Away
"TheSoundYouNeed, Vol. 1",Indian Summer,Shiner
The Collection,Astrud Gilberto,Berimbau
TEKLIFE Vol. 1: Welcome to the Chi,DJ Rashad,Don't Drop It
Now,Patrice Rushen,Superstar
Worldwide Underground,Erykah Badu,Love Of My Life Worldwide
The Crazy Penis Collection,Crazy Penis,There's A Better Place
Kerri Chandler Presents Kaoz Bundle,Kerri Chandler,Downown - Dark Mix
Friede Freude,Melodiesinfonie,Electric Relaxion II
Greatest Hits 1961 - 1976,Dick Dale and his Del-Tones,Misirlou
Alpha Dog,Great Dane,I Do My
Drunk,Thundercat,Blackkk
Burkina,Richard Howell,Conversation with Charlie Mac
Red Light Jackers EP,Borrowed Identity,The Spirit feat. Albert Vogt
Majid Jordan,Majid Jordan,Every Step Every Way
Slinky Link,Link Wray,Rumble
Atlantic Jaxx - A Compilation Vol 1,Basement Jaxx,Be Free
Linha De Passe,João Bosco,Boca De Sapo
Pineapple,Karol G,Pineapple
Reworkz E.P.,Dream Continuum,Giv a Lil Luv
I'm Not The Same Girl,Stacy Lattisaw,I'm Not The Same Girl
Catalyst,Ethereal,Do It All
"Deep Dubs, Vol. 1",R.I.P Productions,The Players
Union,Mono/Poly,Violet Ray
Winona,DJ Boring,Winona
Double Cup,DJ Rashad,Pass That Shit (feat. Spinn & Taso)
20th Century Masters: The Millennium Collection: Best Of Ohio Players,Ohio Players,Sweet Sticky Thing
Butterflies / This is the Place,Leon Vynehall,This is the Place
"And After That, We Didn't Talk",GoldLink,Dance On Me
The Great Adventures Of Slick Rick,Slick Rick,Children's Story
Mon amie De'troit (feat. Ozay Moore),Tall Black Guy,Mon Amie De'troit - Instrumental Version
I Don't Know Yet - EP,Anik Khan,Nomad Man
Virtual Area,Armless Kid,Blank Leaf
Playing The Piano - US Version,Ryuichi Sakamoto,Tibetan Dance
O Prazer da Vida,Bah Samba,O Prazer da Vida - Jonny Montana Latin Soul Remix
Outstanding (feat. 21 Savage),SahBabii,Outstanding (feat. 21 Savage)
Blank Face LP,ScHoolboy Q,THat Part
Monitor,Volován,La Luna
First Floor,Theo Parrish,Heal Yourself And Move
Feeling Real,My Digital Enemy,Feeling Real
Mana Pool,VAPERROR,Krystal GB
Discovery,Daft Punk,Face to Face
Somewhere Else,Zeds Dead,Bustamove
For Club Play Only Part 4,Duke Dumont,Be Here
Can't Deny My Love,Brandon Flowers,Can't Deny My Love
It's Better To Travel,Swing Out Sister,Breakout
The Very Best Of The Bill Evans Trio,Bill Evans Trio,Nardis
End of Earth,Antwon,Sittin in Hell
Anjunabeats Vol. 8,Oliver Smith,Chordplay
Spinners,The Spinners,Could It Be I'm Falling in Love
Tell It Like It Is,Stephanie McKay,Jackson Avenue
Live Up to My Name,Baka Not Nice,Live Up to My Name
Corrupt Memories,DJ Mastercard,Lethal
You Are Here,Herbert,I Hadn't Known (I Only Heard)
